"(0,0)","(0,1)","(0,2)","(0,3)","(0,4)","(0,5)","(1,0)","(1,1)","(1,2)","(1,3)","(1,4)","(1,5)","(2,0)","(2,1)","(2,2)","(2,3)","(2,4)","(2,5)","(3,0)","(3,1)","(3,2)","(3,3)","(3,4)","(3,5)","(4,0)","(4,1)","(4,2)","(4,3)","(4,4)","(4,5)","(5,0)","(5,1)","(5,2)","(5,3)","(5,4)","(5,5)"
1.0,0.0,1.0,-0.04,-0.04,1.0,-0.04,-1.0,-0.04,1.0,0.0,-1.0,-0.04,-0.04,-1.0,-0.04,1.0,-0.04,-0.04,-0.04,-0.04,-1.0,-0.04,1.0,-0.04,0.0,0.0,0.0,-1.0,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
1.99,0.0,1.8870,0.8470,0.7440,1.8870,0.6490,-1.039,0.752,1.7840,0.0,-0.405,-0.079,-0.174,-1.039,0.752,1.7840,0.8470,-0.079,-0.079,-0.174,-1.039,0.752,1.7840,-0.079,0.0,0.0,0.0,-1.039,0.6490,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079
2.9701,0.0,2.7652,1.7150,1.6018,2.7550,1.4974,-0.524,1.5282,2.5712,0.0,0.4141,0.4488,-0.213,-0.347,1.4466,2.5712,1.6334,-0.118,-0.128,-0.223,-0.347,1.4466,2.5611,-0.118,0.0,0.0,0.0,-0.419,1.3343,-0.118,-0.118,-0.118,-0.118,-0.118,0.4582
3.9403,0.0,3.6335,2.5743,2.4591,3.6133,2.4086,0.1372,2.3526,3.3494,0.0,1.2639,1.1692,0.2508,0.3324,2.2166,3.3414,2.4046,0.2910,-0.167,-0.198,0.2669,2.2156,3.3222,-0.157,0.0,0.0,0.0,0.2363,2.0789,-0.157,-0.157,-0.157,-0.157,0.2696,1.0503
4.9009,0.0,4.4923,3.4242,3.3086,4.4629,3.3328,0.9460,3.1829,4.1270,0.0,2.1120,2.0082,0.8829,1.1075,2.9764,4.1039,3.1600,0.8982,0.1987,0.2330,1.0006,2.9617,4.0750,0.1593,0.0,0.0,0.0,0.9840,2.8204,-0.196,-0.196,-0.196,0.1423,0.8420,1.7372
5.8519,0.0,5.3417,4.2655,4.1497,5.3040,4.2651,1.8206,4.0202,4.9023,0.0,2.9528,2.8858,1.6638,1.9030,3.7445,4.8578,3.9065,1.6591,0.7784,0.9559,1.7394,3.7127,4.8195,0.7029,0.0,0.0,0.0,1.7223,3.5640,0.0473,-0.234,0.0339,0.6550,1.5166,2.4491
6.7934,0.0,6.1817,5.0982,4.9824,6.1366,5.1972,2.7230,4.8562,5.6756,0.0,3.7854,3.7884,2.5028,2.7194,4.5119,5.6048,4.6447,2.4869,1.5366,1.7164,2.4834,4.4567,5.5566,1.4131,0.0,0.0,0.0,2.4638,4.3004,0.4982,-0.048,0.4855,1.2908,2.2203,3.1753
7.7255,0.0,7.0126,5.9225,5.8067,6.9610,6.1245,3.6336,5.6874,6.4465,0.0,4.6097,4.6990,3.3821,3.5406,5.2792,6.3455,5.3755,3.3587,2.3584,2.5117,3.2222,5.1950,6.2864,2.2094,0.0,0.0,0.0,3.1993,5.0305,1.1237,0.3449,1.0785,1.9741,2.9386,3.9001
8.6482,0.0,7.8346,6.7385,6.6228,7.7771,7.0446,4.5451,6.5119,7.2146,0.0,5.4258,5.6106,4.2748,4.3619,6.0443,7.0805,6.0992,4.2476,3.2198,3.3166,3.9560,5.9270,7.0090,3.0576,0.0,0.0,0.0,3.9292,5.7536,1.8552,0.9182,1.7370,2.6782,3.6565,4.6212
9.5617,0.0,8.6477,7.5463,7.4308,8.5851,7.9568,5.4525,7.3292,7.9795,0.0,6.2338,6.5180,5.1723,5.1790,6.8067,7.8099,6.8159,5.1429,4.0945,4.1250,4.7022,6.6533,7.7246,3.9295,0.0,0.0,0.0,4.6528,6.4697,2.6562,1.6111,2.4251,3.3862,4.3709,5.3363
10.466,0.0,9.4522,8.3461,8.2307,9.3850,8.8604,6.3536,8.1388,8.7407,0.0,7.0337,7.4191,6.0674,5.9907,7.5656,8.5341,7.5273,6.0368,4.9740,4.9327,5.4580,7.3757,8.4331,4.8112,0.0,0.0,0.0,5.3705,7.1790,3.4946,2.3827,3.1221,4.0923,5.0797,6.0450
